,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
40,CHALLENGER,uydXORRTFxH6FOiTXC3CNCmxUw__LVebpK6Wc062_--wA00,Sennin MODE,743,307,262,False,False,False,True
41,CHALLENGER,8dOG-HGRKA-BVIQZwsqXe4dNEa9yQ3I9qOZddJ_zTWaLjkQ,날이 샐 무렵,747,286,245,False,False,True,False
42,CHALLENGER,JZGMGFVNWBH3-ct3Atz8pfhj9nNfxhttRjB0kGx8i4yqSPU,bugaoxing,735,303,264,True,False,False,False
43,CHALLENGER,q0Xc0L_6cVkK71W_DcqfDRUe2NKel9uWY_GTBzNJt78fDMU,DWG BeryL,966,296,252,True,False,False,False
44,CHALLENGER,6L6gUVIXRMwEN-BcjJjHCnCCqBmYR90pzoNFSf2vT2vtLYY,재미없다고오,688,418,370,True,False,False,False
45,CHALLENGER,uQs2XlFx896C_BqUOM5MCeIcaSdu-yVWtRnK-Sxqd1BC1qE,wuhudsm,1328,624,512,True,False,False,False
46,CHALLENGER,J0cUkxGLtq3eLjwibKcUtdKiwcsjKkXzdGDs9BD-2zuIng,이보검,678,281,196,False,False,False,False
47,CHALLENGER,lqOWa5DzQwe-bhsVn9Yn6t_yE-Rt31boNKDOaCgv7KytYAo,xuxubaobao,675,235,181,False,False,True,False
48,CHALLENGER,nuUmYvWxWrbdZ7Qz6WEGV-RVE2axXtVa7LRZUvyJMHJVuWM,clearlov9,654,148,108,False,False,False,False
49,CHALLENGER,SQipd0VHzGA5YiOCMX7Xa1wc2V2Fz2lA145Qbbofv1g6S3c,진에어 잔디,924,386,321,False,False,False,True
50,CHALLENGER,xvLYz6PYsFG2Al8Zm_OyH4GsIfx1ubMfpJItjRDTiAIjR8g,고분하게,693,157,105,False,False,False,False
51,CHALLENGER,oc018cuBJ98Ff0-xMEx5dj-eLlSt7RxnkMXY6kZqwQGRw-s,Sangchu,715,225,208,False,False,False,True
52,CHALLENGER,NLjip5QMWFhICxrEY_P-D55g22eUT8S06yvhic2zUiD4wg,훙쌍리,809,252,175,False,False,False,False
53,CHALLENGER,ArJwV_k11OVLspSELCigbqHcjiH07-adtqEJJskH6vWJ46A,종탁이,753,766,716,False,False,True,False
54,CHALLENGER,IS_p7VVxk3Bj-RoTZzz1I-Fy6FR-SC3IO4vFQZqPUyVJ2RM,DRX Deft,791,455,404,True,False,False,False
55,CHALLENGER,ihEXiI7sxvSGRPThabr02o2PjKpb9gAXMYeHeWrGrKTWeqM,Mango Fish,1023,464,351,True,False,False,False
56,CHALLENGER,Kc982LGTXScGmKvpyqtfBBYrQPXS2xJ3S1UETMBnZMnQVvw,87 n94fmpcs,845,879,775,True,False,False,False
57,CHALLENGER,X96DT3vude5pQizXkmVZAIbdgZQNybQ8e2Xgziy-8_tAyA,Hide on bush,933,377,334,True,False,False,True
58,CHALLENGER,ST7XxDhX1PDTFCjLLUDZ0MKw2lWFomfz39ckhHP1Fry2sa0,갱장헤 엄청나,800,283,227,False,False,True,True
59,CHALLENGER,qvqaD3kR4AX1j6eBeCAiJLQ8dwNJfmjB8ixcfy6MBpwz47k,정중지와1,825,283,214,False,False,False,False
60,CHALLENGER,4u1qYcqu9zKvLtcs7qlIM4ZPLRJfIgvHvuutaJQyt0ncyg,sheng huo bu yi,808,358,312,False,False,False,False
61,CHALLENGER,QEm0BK1WHS-jd_DZ2Kcp3P1w8gMqb3Uz9QKoYjQHHN36wOM,suyin,699,552,455,False,False,True,False
62,CHALLENGER,Zm6NlPNMd2zAPwEH-SjOX3-1b-7d9Ue3z3-kD-40-PqZ1L8,Vlbra,878,291,254,True,False,False,False
63,CHALLENGER,UXWfpB2r22KHENBtqHdaYL4JaVkkfR8NUF_sak8LWRXAQg,돌낳는남자,747,245,204,False,False,False,False
64,CHALLENGER,6dG5maWhi6DH2s2c08cpBr5n3X9KJ2hBs1wT88DLWTQw4g,허징어링,689,134,127,False,False,True,True
65,CHALLENGER,WzbePGD682x_EIruaNVLw0PhBPlaVq20JRtEDhwUX3jPiLvx,98kgame095,984,196,74,False,False,False,False
66,CHALLENGER,0YmSMi0__BYZ4Zkm3plmlqF1X82IbXgDtrjKsY6_zy5ZFyI,저승용호야,913,541,478,True,False,False,False
67,CHALLENGER,hCPUdO0E6rU6r1h1mA-ZRyTvDqxvNfUixDlKGi92qSvUQGM,Yunqi,799,261,211,False,False,False,False
68,CHALLENGER,UGi6UnJvRgoNKqrLlocFARvkxC4n2r6Xr5CytI4y0MK0jYI,발이 저리다,1404,143,75,True,False,False,False
69,CHALLENGER,r10UyNyLMil3fOK_QqgHa_BpRRCWFNMOjC_iFRoSfrTAFyo,기붕스1,688,291,244,False,False,True,False
70,CHALLENGER,oc_pmq9ouQHTQIojIJXW94L3KxesR5WPtEqqG61vM_mVwp4,Tangwagege,679,646,604,False,False,True,False
71,CHALLENGER,2SARSKfKY5uva6sF0bliUPbUM86VxMLXLWlZRVtAHugkpKA,FPX LuLu,667,201,123,False,False,False,False
72,CHALLENGER,LT-_9r9QYtLUj0qizsSvjuStI_uLIS9FWmmhC9HKq8HhYw,Heart,923,444,380,True,False,False,True
73,CHALLENGER,Zep70POV9lnng4-eV6sqYzM6v6nB3OTP5XrzwHbyWxYlXPo,NO BB TOP KING,693,373,327,True,False,False,False
74,CHALLENGER,BaoXMF3Odb32WlSIzazQKIFh5wsjOl-gIi2_HfFHQz_ojg,굿 팀,814,580,537,True,False,False,False
