tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
MASTER,DpISNxvtn0nV1qKY1Ndygb7cKpyhw_PMyT-WRTyHsumK7Es,착해진 벙댕이,213,322,296,False,False,True,False
MASTER,9Q85GyjLNc-v0ID8zJ-Vu7LwIS95-LI3OTQuwJxgNVDfRg,안할래요멘탈아파,39,227,187,False,False,True,True
MASTER,bLmIwV4on13B_7CcbDHuXuVuhN_3ng_SDuqukhPfVIbFN5Y,Kisai9,260,222,201,False,False,True,False
MASTER,rd2J0fwQQ4MNFqjnZbLvKIQMCrZtopcJhrjvcVqm_6_qtAk,Aln,22,189,107,False,False,False,True
MASTER,A8BNkm_T2hdtg8FTkYyrp-dn4_tbJPBg_VPOQtd4nmTYRmM,Until 08 30,117,296,275,False,False,False,True
MASTER,r44OwABw3icgevo2mkUTpLZfluD8d3w2vsdOML7iluR99eY,l학선생l,0,186,104,False,False,True,False
MASTER,293ycdDYV0NMZnzRN_DfjmeFrZBC03tjKq0YiStm-OwKCQ,마배2,169,398,364,False,False,False,True
MASTER,3SYmoxGX6giyybltCYaPRVAo4_1yoCnrPhWhwPSBs3JpcGE,너가 그리운 오늘,0,60,51,False,False,True,False
MASTER,AMetzTkaiWFDZWOZl05t8alD-zd5__LvcDqMoVzWpeQU6KE,Enforcer suppot,0,124,58,False,False,False,False
MASTER,92GudHUJmZqinOmBSIIY_U8TACH9qnk1I2EeV0ppQN-Nzw,상구놈,113,643,626,False,False,False,False
MASTER,yREcYQZnbO8lKbOZsltDI_iJZjs8sM20DJsOhzC24c5RBl0,Challenger Kat,193,309,222,False,False,False,False
MASTER,RQqQcDbkTtd_RWmJ0SeTEk6yTXgH1pfNoRnJFQ7zJO27nSA,고집객기제삶자체,45,117,107,False,False,False,False
MASTER,2aAa0HhnX5UmiaAHKHYk0843pEiWG5_ecm-vS-psD_eTluI,inolf,91,284,205,True,False,False,False
MASTER,5zmF2x6JP5BQOQT63NuDEALbmRHqRzxDWho4qviZC9WniryP,안홍기,195,290,208,False,False,False,False
MASTER,XdWAkTxFrjjhQGSXTJkrENTJPRjGHIV961VdJ_9THVUSNvI,골이아픈오리,221,294,259,False,False,True,False
MASTER,KTugwolIoYaf9G4mqKTaBbTcLq9VyLcR6YheqDyeTqPJg_M,2016년06월01일,91,278,186,False,False,False,False
MASTER,_wRyhdVUDvWva2DlVz_WtY64gIhtgs-1d-816Ilai6iySRE,분노에 먹힌 지용,14,601,560,False,False,True,False
MASTER,NfmGljBRKsoOXHloubnDMnRaK6cB_bVaTlKREraloT3Onfk,펜니르,66,346,335,False,False,False,False
MASTER,H-ZG42qmajQFYcG0kDM9Z62y13VSexaqciZoGUe3pflK_RY,나는벌레이오,0,489,478,False,False,True,False
MASTER,Tl95G964YRH3OQ5dp7GgaUMa2Qezg197Ffo_08bDtTpzpOs,초코냥이,7,181,172,False,False,True,False
MASTER,CLvPHxYdBB3vuQzADRUtN9-QC07vQDPnfWV08YCnIjFT2O7Y,lIlIIIIIlIlIlIll,48,80,21,False,False,False,False
MASTER,HifXbVvBHSEZYOoVQlsVvj5hd3MBoAeTKon08FC-OJKbZA,선트포충,178,101,73,False,False,False,False
MASTER,VEgCA80YizH7mbpleR4-sFE47p7LlAi1nQASrmq7VSVDJnI,정글먹지말라고요,40,201,187,False,False,False,False
MASTER,Z8Gr6jUXVLybtZn42VHebQZ1hkN8LNpT7xyPtYH8gIpAcoc,아웃포우,0,189,151,False,False,False,False
MASTER,fONlhDrP0kDtGVA3ckoJ8G8004QSPqW3o0Xs1JsKMtGMvsg,화나도행복하게,33,637,631,False,False,True,False
MASTER,E3Crco9HrNOAb4m9qhciX27XUP1qAf2AjcMFVSVl05CTlg,아니욤,0,122,100,False,False,False,False
MASTER,Wfh13h3wkE8e_QEpP4e2QsTk4KQ3PFPORYfMTuzZJqzj_Bc,Cr4zy moving,0,174,170,False,False,True,False
MASTER,T8jW1hsSQmZb6lCpgEIWiSg3p2cdWTXi8fbs84QsWkpXZ_M,괴물손 아대,25,228,202,False,False,False,False
MASTER,WQHiYpVqqOnf13RHmA7SsVcMPHy96GeP5-W1isb6VskyIVo,마향달,42,641,622,False,False,True,False
MASTER,ahlJ9m3RSn6hh11muFDTcTm2_1GQ3x8OkwDlbtC6R9SSCTw,bored game,0,468,403,False,False,True,True
MASTER,2AQ7KvBIiNxSe-gckC9S2zjRyDXXLBtSyczrx4ZiGYxXcA,looc99,52,303,294,False,False,False,False
MASTER,pQtH6ArVqOh3y9DR1vKTWDkMhocCn6j-L1q8iXWaFpd7xQ,Red key,177,471,453,False,False,False,False
MASTER,T-BXTWPLokUKBV3v6t9UBn2xRnwHtPFpv9R1QvOX0rilv8M,wdysjzyl,191,608,577,False,False,True,False
MASTER,-GWmX5WUryl5AIF5t9c4X_th06FGgJMHTKS5Fge0xuYEfk8,사고뭉치 탑솔로,34,1147,1135,False,False,True,True
MASTER,dPuDPFnqv2dXFZT7uGChLqA0__AuvsHQdYtLk_i024-597I,Gen G Frim,112,533,460,False,False,True,False
MASTER,1UMvGw0_MHlhIDy2J7CLQdfIC6acs8VrhTEeKX23NzbBOQ,우우리99,286,302,296,False,False,False,True
MASTER,eHX2nPMfuDXK8EeI9W0GBp-5-gnTeVmVunAq2h-3TTxEzQ,다딱이 새루,0,67,55,False,False,True,True
MASTER,_7OO19CSmhMepgRsGFYrfdAbCpcYHk8cuQguEgcGnBLLYqA,아웃재,0,60,44,False,False,True,False
MASTER,gvMb7o44XI7HMcy7n1rOh9gYPoYD4syaQQFPDpQx9bTCu25b,Lost B0Y,0,326,261,False,False,True,False
MASTER,PQj18oCGfsUV5vzrFlZ7vlznJzFba4An3htanXq_l-F9JuY,Rekkles JJ,0,184,86,False,False,True,False
MASTER,ssANhwvJ2ppowt98d-kEWr308pMNHDsIL668dggxJUkCT_o,악한 놈,41,308,283,False,False,True,False
MASTER,6ekJalGx_zuPNkvzH4mix2WwudomhONzsu-BMv298q2g-Q,파워포인트2010,35,195,176,False,False,True,True
MASTER,3RTG_D4SMKbeDlh-3dxCKn3vAbdvjHFA-KUdTmpQVMXS9JU, Nay0,219,330,277,False,False,False,False
MASTER,p16R_ZQvF4DZQnU6ZdeTajzQgRl0akmuM3rZMo1-X8cFyoU,돼냥이 킬러,125,136,120,False,False,False,False
MASTER,t9HkHBZerzhy3DjCwpS3dpVRZ9wvK89DCxt7d3Cja3EgQEA,사랑하는달님께,0,105,77,False,False,True,True
MASTER,bJGajRxBzkElQVMxGfYpMDgingaRPmfUgOL_KnT0chX1vRs,Refuge,125,1030,1010,False,False,True,False
MASTER,cPOLr34_NCoMti3_G_6Ir-D5CS2s7enO7QBdvgj3ur6vCck,ADp1ayer fans,234,297,267,False,False,False,False
MASTER,G_-S_YZ1fk8cxdfjGy1MYEEZ1kGEJvvWDFIoh30YkWseve0,suvccc,0,229,196,False,False,True,False
MASTER,XrNTVDX82Jz6G_4WDuJKYMkZmgvxGAZt6mQ6DrtQv38OSsk,쉔글벙글,43,446,476,False,False,False,False
MASTER,Ojevc-OX26VW8Z-fkj5xALahK82okj6itGGgRwB81fPZ5DM,허징우링,29,62,26,False,False,False,False
MASTER,RexuF_nkN92KZPpNYA8OTNlkTHNH_jAyaMEV7mgs8qqOyLQ,Yamtuuw,271,379,353,False,False,True,False
MASTER,FddkhWllOXUJ5GLkMk9IL-N8vhSWWhciz0EcH1efmxv0JQ,으힉힉,145,345,323,False,False,False,False
MASTER,nsJaa1rlNGrfulxFFW67S5TVYMDdJgt5RHhWtAp5FKKrLLA,paes,174,603,581,False,False,True,False
MASTER,6Hi9mHf2GdWrLhIQ4wqf13K9xsrX_GdWygmVBHOZ0CDRdw,토끼먹는 엘리스,0,342,265,False,False,False,False
MASTER,_XzAr8vJSTMVkyLjCDQ6tbLU3kqPRikyQTogAk44Cs4NIb4,양세형의리듬체조,8,190,133,False,False,False,False
MASTER,tM1uWJfPELvSadTqk7JKt8asRPK4hZGYFKKQ16Kq0lx_Tmg,so fxxking sad,67,236,239,False,False,False,False
MASTER,fsONN0RroIbe_KYsmEX318-MSxv4eoGBMg4pHvXJ3uSF3w,챌까지미드마오함,180,236,190,False,False,False,False
MASTER,S5y7tVcqHTVUBiFpOTEJxAcFBfCOiptcO75qKoWxs4XGzFY,망밍맹먕몽,247,439,399,False,False,False,False
MASTER,LLifai51o-NLCZ1Zjc3z30hufxveFNcqie7_kNbXiJA6Kw,포스텍19오승준,135,245,222,False,False,False,False
MASTER,BOOYn1vJ5AkWA10oyyRQ0pzB0Ql-HVkVai6CGqXGb_3x-Q,반쯤 피었을 때,0,427,441,True,False,False,False
