tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,WIdS9Rg3iSWtYGfcMYUVFxF7LS5bC0bZg6CXQ7L9uSLLRHM,T1 Cake,396,426,390,False,False,False,False
GRANDMASTER,jVsxzaqmyGT0K_p5XM_9kyDRiJFCYWDN0aaD8zFG636npQ,JongSeop Eun,468,243,206,False,False,True,False
GRANDMASTER,4KoBVip8wSUxC7CjpsZgvTRjA6Hy5xcoGtRpoMf0GGFRUjY,Wanna go LPL,305,662,648,False,False,False,False
GRANDMASTER,RYJXClhSp7HdmAJDKxvVaENutY6vip19gDi7AvP8z_ii6RU,dangyadangyadang,401,395,309,False,False,False,False
GRANDMASTER,nVCKVgOEODE5aXJSgZVt1ZmMf_BlNSrLJOSBBGDJsh4cWPw,핏빛 계약,535,246,213,False,False,False,False
GRANDMASTER,CXjHEcuQ2SytyGJaGaHiTahVCHDfQnTTBOYrrTXu-Tf7F24,cong dian bao,583,468,490,False,False,True,True
GRANDMASTER,5rG4-R-Vk69uX3rQEODvAZDAvbOv57EHp_kxCjY0ZLrJBcM,One last hope,432,203,144,False,False,False,False
GRANDMASTER,Z3x1-KoReqdrQNjDKSleVCNo9mCRqJVFXm6TmWprwc26p-M,sayho erzi1,509,245,201,False,False,False,False
GRANDMASTER,ah94G5u4mUoT0NAA0CNHfB_wytYqYXKyqOJlW0ndllV_cVE,01087135748,353,309,270,False,False,True,False
GRANDMASTER,PZa5VFJMU1HviC50bwfg_wrVr8EFxlLTLmvhS0cwSIFxhQ,T1 SailorMoon,390,326,260,False,False,False,False
GRANDMASTER,YWXutUfzWcwlu3WhJPJU6_xDrwqNS17k7sEqblrUpmO-RnE,persistently ,385,410,373,False,False,False,False
GRANDMASTER,UOrn9zTfPufUPM6oRumsoWE9nuAqMZBjwmflKPXlwatrSJ0,Lehends defensi,534,270,165,False,False,False,False
GRANDMASTER,3iyby34OjYoHE3QjKob_-tmwyG7BefeMt8mjlzQFLIjkBAU,EawqaaAOVO,537,508,475,False,False,False,False
GRANDMASTER,3QuUcpKLDGF9jWjsFSYE0ahqdqHixcS-EsKp1MtmtjuYW1U,Pz ZZang,603,174,143,False,False,False,False
GRANDMASTER,KZrggxpSGWE3etZ_dtq9GRqBRFs7ZpxTHHlZ2vDXAwVY_wc,wfs,323,120,106,False,False,False,False
GRANDMASTER,kul_xK3MYU3KxYb-3-8NeH-9PjdpC5FnDHtFhWVyR3TE9e4,DoRun,372,390,369,False,False,True,True
GRANDMASTER,JxGp7mHu0lLUcuylRVPYhfYnEaI8FRvrrHrIT4uLsQUXOLA,탑 Solo,414,320,278,False,False,False,False
GRANDMASTER,N-9WC8Kn1beyfqokNf-35hQt-UieSgzAoiDes0kLuiVLag,롤잘해서어따쓰냐,321,132,90,False,False,False,False
GRANDMASTER,yj2jJ7C5YS-CGpTLuqOUswJ09Om7IPLJv3b-qyI9jb-sWN0,chiweijingzhi,515,327,229,False,False,False,False
GRANDMASTER,cTgkDA6SQMucCCFCApa9Sj-Kbe7Ymy9XizxOxmwSSg8Fm7A,Wecanwin70,445,814,795,True,False,False,False
GRANDMASTER,rznKXjj4zVDQtClCrfyNVYcQbQKx_Ft7RmOwAf8vfJzuzD8,Bu sheng xiu,400,227,179,False,False,False,False
GRANDMASTER,0jqtZUy153KUtAdnux6iZcRsCa4MtFVscN_jUKF03kaeX6g,옘 뱅,585,111,71,False,False,False,False
GRANDMASTER,f60nBhsHNDP9nldze_ckARqttxcmVS6W-Z18SvwR82Ai5Nc,Gen G Dice,477,1047,1013,True,False,False,False
GRANDMASTER,Xly1tpTTJRjT3Cf_-M8ISS_VrxYbwfjS8-AdzKjMk5pwaCM,BOKGU,626,290,245,True,False,False,False
GRANDMASTER,MSiyJ-1FsO6imXduxwEmq9cdd3KulRjmm5vAcv8Luw5zFY8,wjsybnlh,523,429,392,False,False,False,False
GRANDMASTER,E1L1uqrPFoiogvqO3NXgf7Op8JSEHQjoTvAm3_FO-Ky7c1A,빡 표,578,472,448,True,False,False,False
GRANDMASTER,0C-6pBUYEmd6jfjTQcsIlmgvoYkY77DDb0lmms5uF6FcyXo,UyQyO,312,841,821,False,False,True,False
GRANDMASTER,dOw1pD-MVsCUMTsb35X7ARTDtvWNLsMbX2piAbYz18LLTw,shkamoshka,579,672,613,False,False,True,False
GRANDMASTER,VsaJheEBk2oQeNJl9nDiNkVo_9Q33rNopwsXMTJcAazjEQo,1v5king,329,301,244,False,False,True,False
GRANDMASTER,9DsNbsff9kGvPD27sFGpWuNaQukUquurVclG9C7Dt399Y2E,충주 경수,405,363,317,False,False,True,False
GRANDMASTER,x23QwKWxOzimkcgJ3IwDWqonIIVdFT9R14rPE0TylEs6KVY,Aorlf,530,724,686,False,False,False,False
GRANDMASTER,_IGBfrX0-UJGhA6Gpo8Oxy0uAymr8TpcFWLCw52FSyZDGKU,xuxubaobao3,482,191,148,False,False,True,False
GRANDMASTER,X47ueGy5n59nj4tWRgskhEtWeQsWBiUYwmS0zmL7MsFV7Hk,zhen de lan ,561,455,387,False,False,True,False
GRANDMASTER,DFI5jh2lfdx2zOCPf5Iok6c4FKA7Qbw6BKdmhm9g9t_QWoM,물다이아123,291,146,121,False,False,True,False
GRANDMASTER,SrI7Gj0-aPanH89d8gtIffpToRajIGcC4OGdFDVJ8epL24k,sup1231,540,321,286,False,False,True,False
GRANDMASTER,KGnhl6MXXmxObQUQSfJIkrL3PojtIs7WZwYNR8Ad9EyY5_8,gelaoguan,537,549,511,False,False,True,False
GRANDMASTER,PhkLXHls13-NPBdU4uJjdhMBuTiqfAGs_-_2V_3hcuu7o38,갱붕이,381,332,285,False,False,False,False
GRANDMASTER,AW-impD2BIAJx-mBPYP8lbOFWHKR2pDWhuIFIsFIKCF45gI,이리스,346,262,211,False,False,False,False
GRANDMASTER,4UdYpmBsnXth_-BT3R1pmSCtnkW-EtcCdwSCheY3MbaeQ6c,울부짖는보노보노,624,783,744,True,False,False,False
GRANDMASTER,RUFH8Dy8aFZoLAxJhCHatp5ROgeAkmk80JuFQm31uVLk7jo,Achilles Cosmos,409,684,645,False,False,True,False
GRANDMASTER,0CmcaAhjG9dj7yPbil-j-huwpLUL0zxs0kzlVRq0bQ4nFoc,m1kasa,395,304,247,False,False,False,False
GRANDMASTER,wl5pjUuCUCMhk-GEeDT26J_SjPEi5zcnNLH6ZQE4wDRS32M,StarSpring2,320,468,449,False,False,True,False
GRANDMASTER,U77UZ_vnldJ4pHvSiJb-M5KEd01TbF6h0gL6Krw5Dbps_fo,군빵맨,614,568,531,False,False,True,False
GRANDMASTER,EEJ7CFP8CsjP4Z7jhsOTqn5pqjdy_RGWlN8txiHcTvAlK0c,hunmid,378,584,560,False,False,False,True
GRANDMASTER,845nw0XvStl6Hc2oTNUsPP15nGcY5njK3P9gTEx6UkOmA5U,이것으로마칩니다,275,346,329,False,False,True,False
GRANDMASTER,yPlsNfUn0QP1ntTO2wzNe-YdUcq08Iq2X2dVSMJxiC_M2oc,blissYYB,442,824,731,True,False,False,True
GRANDMASTER,0sRw-ahC7EGAM8FXlVXimN8cEM40oITCzi_OrsEK8mNNpQ,내큐를바드삼,368,137,106,True,False,False,False
GRANDMASTER,-NdhcrziEl6W-pYphmss8CDylIKvxLFwmk4wiq8Bv7XhCq0,NUNST,369,168,88,False,False,False,False
GRANDMASTER,y0APfHgchJR72Kl4eUAJEcjnZWwlM77YrI7Lbg2bXSp65AY,gbzj,340,885,917,False,False,False,False
