,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
394,GRANDMASTER,DH29BK2kD3HcyWVhPaLL3YO1a0OBW7_g6ZpZ3290FNFda4o,srysry canwin,373,490,483,False,False,True,False
395,GRANDMASTER,a8TvWNNS9anNTtZL-WrybLfP7np1NdjSG0CBAoabZ5cwxDI,Wanna go LPL,305,662,648,False,False,False,False
396,GRANDMASTER,S-t64RJX__IoGs6Mnl_quMOmj9l_3JTFygIPUNy_6TAftHRw,FPXzhao4506303,376,313,238,True,False,False,False
397,GRANDMASTER,Ho4vb2fI0A4fB-ihCx4S-Lz6Bnl8MM3v12DbpZ4SblefoGk,BOKGU,626,290,245,True,False,False,False
398,GRANDMASTER,WUEYQYT5TJ-CAyNA4Keb2MkybCHtUhwMFZUTTYlvWO2Uv6Q,m1kasa,395,304,247,False,False,False,False
399,GRANDMASTER,sAUegTEomcEw4p_B0jI5HHxxKlVp7ZNW5oSKtbgyQUFcuho,wjsybnlh,523,429,392,False,False,False,False
400,GRANDMASTER,yb3NeDePuvmXexF1q1JzYbflpesurHVdOMBqjesPHrZwUzg,에이전트 H S,501,803,750,True,False,False,True
401,GRANDMASTER,qy6jWwET0sRGgI_MgEZ5u7MTNUCOIe6ajYaMTLBmybCsNzo,         anshenz,612,348,245,False,False,False,False
402,GRANDMASTER,CpmaDWkj1Dq0X8Utxh5yzXaHT0BULLe60joB0yNmIVRl7Hg,xxxss,559,367,320,False,False,False,False
403,GRANDMASTER,B41-JYqbLRZPTatg7-hrae9flHuHJemILaKiUpYIGUebxqs,11baby,310,731,681,False,False,True,False
404,GRANDMASTER,S3z6Hnu2g9Hw2S76DBSIoYMHXxwZUzs0hy2GUtCBwGa5gJM,The clock tick,352,480,461,True,False,False,False
405,GRANDMASTER,Y-0vMvQ_7QM2vFjzY2mP3zSzCuVQAlNWhJvb5Fjn38AWx68,wo ye xiang n1,571,167,126,False,False,False,False
406,GRANDMASTER,30nNHa2_pA_O_5hiU0QSSmcdoDHjVVEU10TCcR3ZyGU2Wo4,쪼꼬맹이 유지니,414,462,423,False,False,False,False
407,GRANDMASTER,1K5tiearbowv4d3lencvIdUuQ7evIjBbfVfqD_jpBseDriU,happy   game ,639,881,791,False,False,True,False
408,GRANDMASTER,3uSOugnTmD-MUTaLDiX2VNF7l9B1wnHlJl3MX-mk7b-VHWY,lililiillilll01,321,373,346,False,False,False,False
409,GRANDMASTER,5LUWxClCgLZIy-CGaJz14aOHHo9c0Z-uEmLhDcJIWM51ww,강블린,363,397,377,False,False,True,False
410,GRANDMASTER,IMwO0ZtkoaXXvieaXieUWcaGmtPkDp9OPN-3wYjjFIpHhA,hi lira,337,284,267,False,False,True,True
411,GRANDMASTER,ADijxAbV1o7AbP8o94H-dcEipoOrtFMHGWAI-ZG3nyoFGGo,AF BuLLDoG,460,276,183,False,False,False,False
412,GRANDMASTER,gtByyfPATVQziyDjw2OG1pfHiW9OFJJqVn0r4r43psOCbOg,aimi ailun,416,129,101,False,False,False,False
413,GRANDMASTER,8KFbMPgWzMVYZJRFt84FIs2zAR-abm-91Bj9_reSRtOmqA,말라질꺼야,350,206,186,False,False,True,False
414,GRANDMASTER,ex_xMXGQbMgN7zQz7KcH7B3y0cgawCi6DwEAhhRnYgp2k4w,Shadow Nia,370,330,288,False,False,False,False
415,GRANDMASTER,rhovrv1yQvok4qVCePjDxomoMdLDj5XY5MBA4m7LTVzcZA,제발바드너프좀,321,174,121,False,False,True,False
416,GRANDMASTER,tIAAPX3Iq1mSlU8eDpHTji3jPhKVV9Cua_e0T5M9OM35QOg,Nanachi mofumofu,355,387,295,False,False,False,False
417,GRANDMASTER,PccHrBCUX3OGSU3RUt3gkIqrC2hZqjyN22piekTmDhN0Esw,작은벌세마리,292,510,504,False,False,True,False
418,GRANDMASTER,HZoW_eeT3Tf9OP_HFbRHbUjW2D-PqrOSn-MV8NZrF00FW3c,지누야샤,395,265,167,False,False,False,False
419,GRANDMASTER,lTjHyoxfANaeg4j4k9UErgiFp1MX8VhgE1DQee53nVq1vQ,써큘러오피투,316,597,567,False,False,False,False
420,GRANDMASTER,xuO5ND9BKyGPmv56oWAgdM-jSt8ihx0DrAmKcWQehz5qs1Q,final resistance,496,213,186,False,False,False,True
421,GRANDMASTER,LgF3_5XlH4AnkdgLEOtbBaNkLbitIIlyInSVkyljCUEwRoU,zxcsdqw,536,371,255,True,False,False,False
422,GRANDMASTER,OhoR81bTvUb_odRl3pPucegApnUT4Ke6qNbs2ruuAp3i9Vc,T1 Lxa,592,547,522,False,False,False,False
423,GRANDMASTER,ciWAYFdDFUm5MxtIbcR9JHwommU5k9OV7JMjWVJVmWKQObQ,dangyadangyadang,401,395,309,False,False,False,False
424,GRANDMASTER,uqDkmBzqUcI_LU91cVJSgdzMSrC9h8VNxMiLAAA8PUjg2Ww,small papa,311,316,288,False,False,True,False
425,GRANDMASTER,GyEa4xqzICKUigRHYUuDL6N51PrPSkQqf-QJlgLQNGiIr6g,paddle물 person,291,374,352,False,False,True,False
426,GRANDMASTER,Y7jSEswvIWJqWrKRWKgqYenhzoQ2VJFDQQr1ipCEKJfhpxY,DWG Ghost,538,409,364,False,False,False,False
427,GRANDMASTER,bdc43T_qxFyWnJtMGAjEGvUh76QPv0hk-vwX6KOjdd8sbAY,81818181,345,1075,1005,False,False,True,False
428,GRANDMASTER,w_wXTinyb71LySP-bQ-biK6wvcqeo2FwL_imYucV0EqfRPY,탑 Solo,414,320,278,False,False,False,False
429,GRANDMASTER,aHdP_JlhSadHfjXMcRUf7FcI1TsJdxUOBOoYcraAz1yWz1k,DoRun,372,390,369,False,False,True,True
430,GRANDMASTER,kKp2OCiSV-fQcKP0vMn_T8JqIXPWDihk6IvNCjDEK5cgC4g,zhuimengchizixin,322,417,400,False,False,True,False
431,GRANDMASTER,6gEvj25B2cTvSsCkYIl05f_wNBxcud_ueEH8kx6fAOj2duI,룰루보다잘웃음,416,318,298,True,False,False,False
432,GRANDMASTER,MlQ2pduPiqP3WDUxLmoD-tw_88iVNjkKwwjfi1R6DNM9Tmw,Till rapking,434,746,697,False,False,True,False
433,GRANDMASTER,W9I7hZqseq-PBiYrfehkoAJ_XFIbyWy0k-8dsrjhkwvQGTE,XiZe99,376,191,174,False,False,False,False
434,GRANDMASTER,pfMzvenrd-3nRm1vZqrnCvV_h3-DziZw-zeVPdu4SQd5GUg,Lehends defensi,534,270,165,False,False,False,False
435,GRANDMASTER,kUQsZ1y5tZzAc5NDcRBl_fg569rVheqZ1JGFmVbCRLd27JY,스위트 패스츄리,294,448,428,False,False,True,False
436,GRANDMASTER,XXZpLQXqYpZmu7yR9_fg_WW-WkipYe1zJgeb6jV1dOjTau8,트위치김수당,353,406,391,True,False,False,False
437,GRANDMASTER,F6hI9DO_evZRPmojCmVDFQg9iIJAl6EuZLvFAJU-7sd8ugI,wuwuwu wokule,571,433,389,False,False,True,False
438,GRANDMASTER,YaWlQZx3MP8Ufy88azv13tdp3bLWF2FU9MTalfwk1XdRgrA,가짜 교관,317,83,51,False,False,True,True
439,GRANDMASTER,OmiEZXd8QdACgkKm63E96P4q-BePLYRzKwHs-55kUx9lMKQ,Kim Sang Hoon,375,214,211,True,False,False,False
440,GRANDMASTER,CMYRX45zdpq2vKDG210KKPPFcKzTibGzow-IRKibmCOQ9Ss,전설의용사엄정재,313,278,244,False,False,False,False
441,GRANDMASTER,scD9bCcmhzNKEy_nECIS9pLu6Fg81xk4sOjmPq8BScfeyaMD,conglintufupp888,421,176,96,False,False,False,False
442,GRANDMASTER,8hn_Kn7bTkaWoq6gERLDbWZquHp-_aarSZeD55Ar5n2Dits,인스타2lyn예뻐요,299,228,201,True,False,False,False
443,GRANDMASTER,lW1uRwqbfhBh1YPenfKOSjRld5RNHCOn3gZTVqLjSBqh8zM,캡 틴 조 아,304,406,374,False,False,False,False
444,GRANDMASTER,kXz2Lo_2Dp_18WO7OQe_llOSEQypK8CC5UdTqeclUmYG_wpj,2020 roookie,539,94,66,False,False,False,False
445,GRANDMASTER,CjUpOC_KPX6LXvlsCNexmQwkbuLFONnM1m5oIJJ23W8QFR4,페2트,634,407,362,False,False,True,False
446,GRANDMASTER,HzBBYU1qIDfxGIQK6_4FHe6sj8UEjhpscQ7CS4ZsgZBXWeg,DFM Evi,435,385,349,True,False,False,True
447,GRANDMASTER,f2X6OT4s8omz7UGMwz8_-ZP9GhPPC8JCgZPoDCStzDwrfs0,TySw,492,453,349,False,False,False,False
448,GRANDMASTER,PT1QCYYq0uG-SgVRgWE3GdAUm7E55CHw2FCF4zjyqpws2bo,Twlsted ,598,356,289,False,False,False,False
449,GRANDMASTER,MVohM8fNVkPHbm9610kAi4FHo3zK5OzTn3WGMpAg88oUSJU,aabbcc123,582,250,211,False,False,False,False
450,GRANDMASTER,op-FkrrFMpY4EAReQkiQCHK55pW3doKlKiewvPgVs1K1wec,서폿 is DOGU,410,199,169,False,False,False,False
451,GRANDMASTER,JoxayCg6J-QuW49RAOU0_LKuCzibZrkHc4Yr4xYop236cxk,kissing me,560,585,555,True,False,False,False
452,GRANDMASTER,i6i1JveKQqVsEgYni4FA-aSEDknOUv2Sd-Jdk2yzOhNCXA,못먹겟어삼각김밥,330,355,333,False,False,False,False
453,GRANDMASTER,4dMMmTIgT8NXF7fKuLuTASFpFapmyXWlhiY_CqxIw4F5aaI,8acemaklr,409,598,580,True,False,False,False
